"Sl No","Stock","ROE Ann  %","PEG TTM","LTP","Day SMA200","Piotroski Score","Total Debt to Total Equity Ann ","Net Profit Ann  YoY Growth %","Market Cap","Latest Financial Result","PE TTM","NSE Code","BSE Code","ISIN"
"1","Timex Group","124.63","0.62","337.35","311.73","7","0.18","50.77","3405.55","2025-12-31","59.39","","500414","INE064A01026"
"2","Sumeet Industries","110.11","-56.97","29.99","28.82","7","0.46","388.52","1578.45","2025-12-31","16.69","SUMEETINDS","514211","INE235C01036"
"3","Indosolar","85.92","0.02","454.2","285.82","8","0","350.15","1889.64","2026-03-31","7.66","WAAREEINDO","533257","INE866K01023"
"4","Tips Industries","83.37","1.3","665.15","556.75","8","0","30.13","8502.72","2026-03-31","39.23","TIPSMUSIC","532375","INE716B01029"
"5","GE Power","64.1","0.03","531.05","357.29","8","0","218.48","3570.12","2025-12-31","11.76","GVPIL","532309","INE878A01011"
"6","Hindustan Zinc","61.12","0.53","588.5","520.68","9","0.36","33.6","248660.02","2026-03-31","17.98","HINDZINC","500188","INE267A01025"
"7","Websol Energy ","55.65","0.06","110.85","103.28","9","0.55","227.93","4678.57","2025-12-31","20.63","WEBELSOLAR","517498","INE855C01023"
"8","GE T&D","34.3","0.93","4598.3","3109.36","9","0","236","117737.86","2025-12-31","110.24","GVT&D","522275","INE200A01026"
"9","Premier Energies","33.2","0.46","1007.55","937.43","8","0.67","305.05","45737.88","2025-12-31","34.37","PREMIERENE","544238","INE0BS701011"
"10","SML Mahindra","30.76","1.13","3887.8","3716.08","8","0.54","31.29","5626.27","2026-03-31","35.22","SMLMAH","505192","INE294B01019"
"11","Indus Towers","30.56","-0.52","402.2","399.87","7","0.07","64.54","106106.91","2025-12-31","14.88","INDUSTOWER","534816","INE121J01017"
"12","Mazagon Dock Shipbuilders","30.39","-3.59","2680.4","2635.88","7","0","24.6","108121.98","2025-12-31","44.93","MAZDOCK","543237","INE249Z01020"
"13","BSE","29.97","0.48","3446","2643.17","7","0","70.34","139952.09","2025-12-31","63.79","BSE","","INE118H01025"
"14","Multi Commodity Exchange","29.71","0.91","2760.9","2036.08","8","0","573.85","70400.69","2025-12-31","75.11","MCX","534091","INE745G01043"
"15","National Aluminium ","29.58","0.28","437.05","283.14","9","0.01","164.93","80269.99","2025-12-31","13.07","NATIONALUM","532234","INE139A01034"
"16","Chennai Petroleum","27.92","0","1035","848.42","7","0.18","1349.25","15412.33","2026-03-31","4.97","CHENNPETRO","500110","INE178A01016"
"17","Force Motors","26.39","0.12","20347","19173.02","9","0.01","106.33","26809.82","2025-12-31","19.6","FORCEMOT","500033","INE451A01017"
"18","Garden Reach Shipbuilders","25.36","0.64","2878.7","2537.17","8","0","47.62","32976.08","2025-12-31","47.86","GRSE","542011","INE382Z01011"
"19","Bajaj Consumer Care","25.19","0.6","453.4","290.67","7","0","51.83","5922.22","2026-03-31","31.14","BAJAJCON","533229","INE933K01021"
"20","Pokarna","24.1","-1.17","903.15","885.66","8","0.42","114.68","2800.13","2025-12-31","24.58","POKARNA","532486","INE637C01025"
"21","Gokul Agro Resources","23.7","0.93","226.55","177.12","8","0.51","80.89","6685.19","2025-12-31","22.35","GOKULAGRO","539725","INE314T01033"
"22","Indo Tech Transformers","22.75","0.91","2402.9","1625.99","7","0.03","36.32","2551.88","2025-12-31","28.41","INDOTECH","532717","INE332H01014"
"23","Engineers India","21.72","0.2","242.89","203.52","7","0","30.21","13651.45","2025-12-31","17.6","ENGINERSIN","532178","INE510A01028"
"24","SRM Contractors","19.96","0.13","524.5","494.93","7","0.15","103.97","1203.42","2025-12-31","14.86","SRM","544158","INE0R6Z01013"
"25","FIEM Industries","19.73","0.88","2175","2122.71","9","0","23.67","5724.53","2025-12-31","23.52","FIEMIND","532768","INE737H01014"